name,latitude,longitude,mercator_x,mercator_y
Alphen,51.480833,4.956111,551241,6708670
Amsterdam,52.366667,4.9,545933,6864513
Antwerpen,51.221389,4.397222,486723,6664662
Best,51.510833,5.392222,600795,6711553
Boekel,51.601111,5.674167,631580,6728694
Capelle,51.692222,4.985278,554770,6744717
Cuijk,51.726944,5.879444,654454,6751224
Delft,52.011111,4.3575,485805,6800029
Den Hout,51.657778,4.811667,535850,6738389
Dongen,51.625833,4.943333,551520,6735834
Drunen,51.685833,5.133056,571290,6743733
Elshout,51.701944,5.141944,572360,6746484
Etten,51.570556,4.635556,516804,6723824
Gassel,51.740278,5.780278,643428,6753097
Geertruidenberg,51.700833,4.860278,539407,6745427
Geldrop,51.422222,5.557778,619153,6696339
Gilze,51.542778,4.939167,545947,6716720
Gorinchem,51.830556,4.974167,557054,6769913
Heesch,51.733611,5.524722,615280,6751683
Loon op Zand,51.6275,5.075833,564602,6732993
Oosteind,51.643889,4.898333,546687,6736782
Oosterhout,51.643333,4.856667,539513,6736066
Oss,51.766667,5.522222,614121,6757753
Raamsdonk,51.687778,4.908056,546615,6743833
Reek,51.744722,5.683056,632607,6754381
s-Gravenmoer,51.658611,4.941111,549978,6738513
s-Hertogenbosch,51.710069,5.311267,589365,6747839
Schaijk,51.744722,5.630833,625959,6752022
Schijndel,51.618333,5.436389,605190,6731389
Tilburg,51.557222,5.091111,565825,6721299
Udenhout,51.609444,5.140278,572341,6730261
Veldhoven,51.400000,5.400000,599476,6694460
Velp,51.747778,5.717222,636066,6754619
Wanroij,51.656111,5.82,647803,6737238
Waspik,51.686667,4.944444,550564,6743817
Zeeland,51.696667,5.673056,632580,6743888
